Species ID,Common Name,Scientific Name,Family,Category,Status,Elevation Min,Elevation Max,Sensitivity
flora-1,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-1","Plant Family","Herb/Shrub",CR,1119,2636,critical
flora-2,"Saw-wort (Saussurea sp.)","Saussurea specio-2","Plant Family","Alpine Herb",LC,2121,4447,low
flora-3,"Fescue Grass (Festuca sp.)","Festuca specio-3","Plant Family","Grass",LC,1422,3265,low
flora-4,"Bluegrass (Poa sp.)","Poa specio-4","Plant Family","Grass",LC,1248,3552,low
flora-5,"Feather Grass (Stipa sp.)","Stipa specio-5","Plant Family","Grass",LC,1133,2372,low
flora-6,"Cinquefoil (Potentilla sp.)","Potentilla specio-6","Plant Family","Herb",LC,1610,3002,low
flora-7,"Wild Rose (Rosa sp.)","Rosa specio-7","Plant Family","Shrub",NT,1382,2608,low
flora-8,"Bramble/Raspberry (Rubus sp.)","Rubus specio-8","Plant Family","Shrub/Climber",LC,1000,2923,low
flora-9,"Primrose (Primula sp.)","Primula specio-9","Plant Family","Alpine Herb",LC,2306,4117,low
flora-10,"Rock Jasmine (Androsace sp.)","Androsace specio-10","Plant Family","Alpine Herb",LC,2209,3396,low
flora-11,"Gentian (Gentiana sp.)","Gentiana specio-11","Plant Family","Alpine Herb",LC,2284,4174,low
flora-12,"Catmint (Nepeta sp.)","Nepeta specio-12","Plant Family","Herb",LC,1283,2022,low
flora-13,"Sage (Salvia sp.)","Salvia specio-13","Plant Family","Herb",LC,1023,1644,low
flora-14,"Milkvetch (Astragalus sp.)","Astragalus specio-14","Plant Family","Herb/Shrub",LC,1172,1991,low
flora-15,"Sedge (Carex sp.)","Carex specio-15","Plant Family","Sedge",LC,1000,3037,low
flora-16,"Bog Sedge (Kobresia sp.)","Kobresia specio-16","Plant Family","Sedge",LC,2954,3897,low
flora-17,"Willow (Salix sp.)","Salix specio-17","Plant Family","Tree/Shrub",LC,1000,1850,low
flora-18,"Corydalis (Corydalis sp.)","Corydalis specio-18","Plant Family","Herb",LC,1537,2138,low
flora-19,"Lousewort (Pedicularis sp.)","Pedicularis specio-19","Plant Family","Herb",LC,2163,3864,low
flora-20,"Campion (Silene sp.)","Silene specio-20","Plant Family","Herb",LC,1049,3486,low
flora-21,"Willowherb (Epilobium sp.)","Epilobium specio-21","Plant Family","Herb",LC,1122,2037,low
flora-22,"Buttercup (Ranunculus sp.)","Ranunculus specio-22","Plant Family","Herb",LC,1000,1524,low
flora-23,"Monkshood (Aconitum sp.)","Aconitum specio-23","Plant Family","Herb",LC,1242,1825,low
flora-24,"Windflower (Anemone sp.)","Anemone specio-24","Plant Family","Herb",LC,1522,3627,low
flora-25,"Knotweed (Polygonum sp.)","Polygonum specio-25","Plant Family","Herb",LC,1000,1563,low
flora-26,"Barberry (Berberis sp.)","Berberis specio-26","Plant Family","Shrub",LC,1447,2138,low
flora-27,"Rhododendron (Rhododendron sp.)","Rhododendron specio-27","Plant Family","Shrub/Tree",LC,1496,2523,low
flora-28,"Pine (Pinus sp.)","Pinus specio-28","Plant Family","Tree",LC,1000,2355,low
flora-29,"Fir (Abies sp.)","Abies specio-29","Plant Family","Tree",LC,1752,2838,low
flora-30,"Spruce (Picea sp.)","Picea specio-30","Plant Family","Tree",LC,1626,2617,low
flora-31,"Juniper (Juniperus sp.)","Juniperus specio-31","Plant Family","Tree/Shrub",LC,1352,3233,low
flora-32,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-32","Plant Family","Herb/Shrub",LC,1258,2672,low
flora-33,"Saw-wort (Saussurea sp.)","Saussurea specio-33","Plant Family","Alpine Herb",LC,1499,2045,low
flora-34,"Fescue Grass (Festuca sp.)","Festuca specio-34","Plant Family","Grass",LC,1397,3792,low
flora-35,"Bluegrass (Poa sp.)","Poa specio-35","Plant Family","Grass",VU,1211,2082,medium
flora-36,"Feather Grass (Stipa sp.)","Stipa specio-36","Plant Family","Grass",LC,2143,4433,low
flora-37,"Cinquefoil (Potentilla sp.)","Potentilla specio-37","Plant Family","Herb",LC,1737,2785,low
flora-38,"Wild Rose (Rosa sp.)","Rosa specio-38","Plant Family","Shrub",NT,1066,3559,low
flora-39,"Bramble/Raspberry (Rubus sp.)","Rubus specio-39","Plant Family","Shrub/Climber",NT,1000,2755,low
flora-40,"Primrose (Primula sp.)","Primula specio-40","Plant Family","Alpine Herb",LC,2016,3530,low
flora-41,"Rock Jasmine (Androsace sp.)","Androsace specio-41","Plant Family","Alpine Herb",LC,1463,2180,low
flora-42,"Gentian (Gentiana sp.)","Gentiana specio-42","Plant Family","Alpine Herb",LC,1011,3395,low
flora-43,"Catmint (Nepeta sp.)","Nepeta specio-43","Plant Family","Herb",LC,1097,3299,low
flora-44,"Sage (Salvia sp.)","Salvia specio-44","Plant Family","Herb",LC,1350,2452,low
flora-45,"Milkvetch (Astragalus sp.)","Astragalus specio-45","Plant Family","Herb/Shrub",NT,1096,1906,low
flora-46,"Sedge (Carex sp.)","Carex specio-46","Plant Family","Sedge",LC,1000,2861,low
flora-47,"Bog Sedge (Kobresia sp.)","Kobresia specio-47","Plant Family","Sedge",LC,1058,1665,low
flora-48,"Willow (Salix sp.)","Salix specio-48","Plant Family","Tree/Shrub",LC,1000,2123,low
flora-49,"Corydalis (Corydalis sp.)","Corydalis specio-49","Plant Family","Herb",LC,1243,2976,low
flora-50,"Lousewort (Pedicularis sp.)","Pedicularis specio-50","Plant Family","Herb",LC,1837,4223,low
flora-51,"Campion (Silene sp.)","Silene specio-51","Plant Family","Herb",LC,1288,1865,low
flora-52,"Willowherb (Epilobium sp.)","Epilobium specio-52","Plant Family","Herb",LC,1484,3406,low
flora-53,"Buttercup (Ranunculus sp.)","Ranunculus specio-53","Plant Family","Herb",LC,1000,2403,low
flora-54,"Monkshood (Aconitum sp.)","Aconitum specio-54","Plant Family","Herb",LC,1148,3469,low
flora-55,"Windflower (Anemone sp.)","Anemone specio-55","Plant Family","Herb",LC,1408,3850,low
flora-56,"Knotweed (Polygonum sp.)","Polygonum specio-56","Plant Family","Herb",VU,1000,2734,medium
flora-57,"Barberry (Berberis sp.)","Berberis specio-57","Plant Family","Shrub",LC,1432,3374,low
flora-58,"Rhododendron (Rhododendron sp.)","Rhododendron specio-58","Plant Family","Shrub/Tree",LC,2252,4357,low
flora-59,"Pine (Pinus sp.)","Pinus specio-59","Plant Family","Tree",EN,1000,1523,high
flora-60,"Fir (Abies sp.)","Abies specio-60","Plant Family","Tree",NT,1076,3207,low
flora-61,"Spruce (Picea sp.)","Picea specio-61","Plant Family","Tree",LC,1476,3557,low
flora-62,"Juniper (Juniperus sp.)","Juniperus specio-62","Plant Family","Tree/Shrub",LC,2453,3985,low
flora-63,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-63","Plant Family","Herb/Shrub",VU,1152,1770,medium
flora-64,"Saw-wort (Saussurea sp.)","Saussurea specio-64","Plant Family","Alpine Herb",NT,3033,5391,low
flora-65,"Fescue Grass (Festuca sp.)","Festuca specio-65","Plant Family","Grass",LC,1108,2969,low
flora-66,"Bluegrass (Poa sp.)","Poa specio-66","Plant Family","Grass",LC,1024,1968,low
flora-67,"Feather Grass (Stipa sp.)","Stipa specio-67","Plant Family","Grass",LC,1751,2371,low
flora-68,"Cinquefoil (Potentilla sp.)","Potentilla specio-68","Plant Family","Herb",LC,1180,1778,low
flora-69,"Wild Rose (Rosa sp.)","Rosa specio-69","Plant Family","Shrub",LC,1243,2552,low
flora-70,"Bramble/Raspberry (Rubus sp.)","Rubus specio-70","Plant Family","Shrub/Climber",LC,1000,3355,low
flora-71,"Primrose (Primula sp.)","Primula specio-71","Plant Family","Alpine Herb",VU,1855,2502,medium
flora-72,"Rock Jasmine (Androsace sp.)","Androsace specio-72","Plant Family","Alpine Herb",NT,1937,3625,low
flora-73,"Gentian (Gentiana sp.)","Gentiana specio-73","Plant Family","Alpine Herb",LC,1683,2732,low
flora-74,"Catmint (Nepeta sp.)","Nepeta specio-74","Plant Family","Herb",LC,1071,1947,low
flora-75,"Sage (Salvia sp.)","Salvia specio-75","Plant Family","Herb",LC,1278,3092,low
flora-76,"Milkvetch (Astragalus sp.)","Astragalus specio-76","Plant Family","Herb/Shrub",LC,1320,3646,low
flora-77,"Sedge (Carex sp.)","Carex specio-77","Plant Family","Sedge",LC,1000,3262,low
flora-78,"Bog Sedge (Kobresia sp.)","Kobresia specio-78","Plant Family","Sedge",LC,1667,3484,low
flora-79,"Willow (Salix sp.)","Salix specio-79","Plant Family","Tree/Shrub",LC,1000,1998,low
flora-80,"Corydalis (Corydalis sp.)","Corydalis specio-80","Plant Family","Herb",LC,1474,3552,low
flora-81,"Lousewort (Pedicularis sp.)","Pedicularis specio-81","Plant Family","Herb",LC,1296,2094,low
flora-82,"Campion (Silene sp.)","Silene specio-82","Plant Family","Herb",LC,1225,2842,low
flora-83,"Willowherb (Epilobium sp.)","Epilobium specio-83","Plant Family","Herb",LC,1187,3039,low
